restaurant_name,address,location,primary_cuisine,rating,votes,cost_for_two,sentiment_compound,cluster,segment
Bombay Sandwich Company,"836, 1st Floor, Near Bharat Petrol Pump, Maruthi Nagar, Basavanna Nagar, Whitefield, Bangalore",Whitefield,Sandwich,3.4,42,400,0.282,4,Hidden gems
Bombay Sandwich Company,"Room 4 , St Mary's Building, 39/1, Appareadypalya, 2nd Stage, Indiranagar, Bangalore",Indiranagar,Sandwich,3.0,41,400,0.331,4,Hidden gems
Bombay Sandwich Company,"Room 4 , St Mary's Building, 39/1, Appareadypalya, 2nd Stage, Indiranagar, Bangalore",Indiranagar,Sandwich,3.0,41,400,0.724,0,Mass-market favourites
Bombay Sandwich Company,"Room 4 , St Mary's Building, 39/1, Appareadypalya, 2nd Stage, Indiranagar, Bangalore",Indiranagar,Sandwich,3.0,41,400,-0.636,2,Premium destination
Bombay Talkies,"10A 38th Cross Road 5th Block, Jayanagar, Bangalore",Jayanagar,Maharashtrian,3.6,24,200,0.534,4,Hidden gems
Bombay Talkies,"10A 38th Cross Road 5th Block, Jayanagar, Bangalore",Jayanagar,Maharashtrian,3.6,24,200,0.749,0,Mass-market favourites
Bombay Talkies,"10A 38th Cross Road 5th Block, Jayanagar, Bangalore",Jayanagar,Maharashtrian,3.6,24,200,0.579,0,Mass-market favourites
Bombay Vada Pav Corner,"Shop 30, 1st Main Road, Seshadripuram, Bangalore",Seshadripuram,Street Food,4.2,84,150,0.885,1,Budget crowd-pleasers
Bon Appetit Resto,"Mathikere Pipeline Road, MSR Nagar, Bengaluru, 560054, New BEL Road, Bangalore",New BEL Road,North Indian,3.8,50,300,0.8,0,Mass-market favourites
Bon Baker,Akme ballet. Behind the Soul Space Arena Mall. Dodanekundi. Outer ring road,Whitefield,Desserts,3.7,19,1000,0.923,0,Mass-market favourites
Bon Sante,"6, Resthouse Road, Off Brigade Road, Brigade Road, Bangalore",Brigade Road,Cafe,3.6,104,800,0.741,0,Mass-market favourites
Bon Sante,"6, Resthouse Road, Off Brigade Road, Brigade Road, Bangalore",Brigade Road,Cafe,3.6,104,800,0.69,0,Mass-market favourites
Bon Sante,"6, Resthouse Road, Off Brigade Road, Brigade Road, Bangalore",Brigade Road,Cafe,3.6,104,800,0.69,0,Mass-market favourites
Bon Sante,"6, Resthouse Road, Off Brigade Road, Brigade Road, Bangalore",Brigade Road,Cafe,3.6,104,800,0.696,0,Mass-market favourites
Bon Sante,"6, Resthouse Road, Off Brigade Road, Brigade Road, Bangalore",Brigade Road,Cafe,3.6,104,800,0.695,0,Mass-market favourites
Bon Sante,"6, Resthouse Road, Off Brigade Road, Brigade Road, Bangalore",Brigade Road,Cafe,3.6,104,800,0.677,0,Mass-market favourites
Bon Sante,"6, Resthouse Road, Off Brigade Road, Brigade Road, Bangalore",Brigade Road,Cafe,3.6,104,800,0.689,0,Mass-market favourites
Bon Sante,"6, Resthouse Road, Off Brigade Road, Brigade Road, Bangalore",Brigade Road,Cafe,3.6,104,800,0.69,0,Mass-market favourites
Bon Sante,"6, Resthouse Road, Off Brigade Road, Brigade Road, Bangalore",Brigade Road,Cafe,3.6,104,800,0.715,0,Mass-market favourites
Bon Sante,"6, Resthouse Road, Off Brigade Road, Brigade Road, Bangalore",Brigade Road,Cafe,3.6,104,800,0.727,0,Mass-market favourites
Bon Sante,"6, Resthouse Road, Off Brigade Road, Brigade Road, Bangalore",Brigade Road,Cafe,3.6,104,800,0.71,0,Mass-market favourites
Bon Sante,"6, Resthouse Road, Off Brigade Road, Brigade Road, Bangalore",Brigade Road,Cafe,3.6,104,800,0.673,0,Mass-market favourites
Bon Sante,"6, Resthouse Road, Off Brigade Road, Brigade Road, Bangalore",Brigade Road,Cafe,3.6,104,800,0.674,0,Mass-market favourites
Bon Sante,"6, Resthouse Road, Off Brigade Road, Brigade Road, Bangalore",Brigade Road,Cafe,3.6,104,800,0.683,0,Mass-market favourites
Bon Sante,"6, Resthouse Road, Off Brigade Road, Brigade Road, Bangalore",Brigade Road,Cafe,3.6,104,800,0.684,0,Mass-market favourites
Bon Sante,"6, Resthouse Road, Off Brigade Road, Brigade Road, Bangalore",Brigade Road,Cafe,3.6,104,800,0.683,0,Mass-market favourites
Bon Sante,"6, Resthouse Road, Off Brigade Road, Brigade Road, Bangalore",Brigade Road,Cafe,3.6,104,800,0.683,0,Mass-market favourites
Bonbonbite,"HMT Main Road, Jalahalli, Bangalore",Jalahalli,Bakery,3.5,10,450,0.686,0,Mass-market favourites
Bonfooder,"Purva sunshine apartments Near Sarjapur fire station, Bengaluru, Karnataka",Sarjapur Road,North Indian,3.9,36,400,0.75,0,Mass-market favourites
Bonfooder,"Purva sunshine apartments Near Sarjapur fire station, Bengaluru, Karnataka",Sarjapur Road,North Indian,3.9,36,400,0.98,0,Mass-market favourites
BongHomie,"4, 2nd Cross, Tavarekere, SG Palya, Near Lakshmi Balaji Theater, BTM, Bangalore",BTM,Bengali,3.5,11,300,0.786,0,Mass-market favourites
Bonsouth,"130, 1st Cross, Jwoti Nivas College Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Chettinad,4.2,2626,1300,0.853,3,Low-traction small places
